"1gram","number of tweets","count"
"的","118","289"
"在","73","106"
"国","60","107"
"一","60","87"
"是","53","71"
"有","53","68"
"中","51","76"
"人","50","85"
"新","48","64"
"为","47","57"
"和","46","57"
"疫","45","66"
"大","45","59"
"年","43","61"
"了","43","59"
"这","40","60"
"发","40","53"
"美","39","58"
"本","36","54"
"上","36","43"
"情","35","45"
"不","35","44"
"出","35","43"
"日","34","61"
"冠","34","40"
"对","33","42"
"能","31","39"
"成","31","35"
"到","28","34"
"现","28","33"
"来","27","37"
"公","27","36"
"多","27","34"
"全","27","32"
"过","27","30"
"于","26","29"
"业","25","39"
"可","25","34"
"要","25","27"
"但","25","25"
"生","24","30"
"以","24","25"
"家","23","27"
"高","23","26"
"将","22","27"
"利","22","24"
"后","22","23"
"者","21","30"
"最","21","27"
"们","21","26"
"开","21","25"
"也","21","23"
"下","21","23"
"增","20","26"
"等","20","25"
"加","20","25"
"经","20","24"
"月","20","24"
"自","20","23"
"度","20","22"
"计","20","20"
"数","19","29"
"用","19","28"
"机","19","27"
"体","19","26"
"司","19","23"
"从","19","21"
"之","19","21"
"周","19","20"
"他","18","27"
"量","18","25"
"费","18","25"
"表","18","24"
"动","18","24"
"产","18","24"
"示","18","23"
"市","18","23"
"会","18","23"
"行","18","22"
"进","18","21"
"其","18","21"
"因","18","20"
"前","18","20"
"个","17","21"
"重","17","20"
"长","17","19"
"提","17","19"
"价","16","21"
"该","16","20"
"选","16","19"
"种","16","19"
"时","16","19"
"外","16","19"
"需","16","18"
"通","16","17"
"制","15","20"
"我","15","18"
"性","15","18"
"被","15","17"
"至","15","17"
"已","15","17"
"地","15","17"
"同","15","17"
"间","15","16"
"说","15","15"
"技","15","15"
"么","15","15"
"病","14","25"
"元","14","25"
"苗","14","24"
"关","14","18"
"位","14","18"
"场","14","17"
"超","14","16"
"比","14","16"
"无","14","16"
"据","14","16"
"求","14","15"
"力","14","15"
"续","14","14"
"今","14","14"
"与","14","14"
"消","13","21"
"电","13","19"
"民","13","19"
"导","13","19"
"球","13","17"
"造","13","16"
"理","13","16"
"而","13","15"
"名","13","15"
"此","13","14"
"意","13","14"
"很","13","14"
"持","13","13"
"如","13","13"
"受","13","13"
"什","13","13"
"三","12","17"
"特","12","16"
"收","12","16"
"好","12","16"
"口","12","16"
"些","12","15"
"部","12","14"
"认","12","14"
"称","12","14"
"器","12","14"
"还","12","12"
"果","12","12"
"显","12","12"
"得","12","12"
"就","12","12"
"少","12","12"
"入","12","12"
"品","11","18"
"金","11","17"
"工","11","16"
"心","11","15"
"亿","11","15"
"面","11","14"
"热","11","14"
"更","11","14"
"万","11","14"
"类","11","13"
"第","11","13"
"定","11","13"
"首","11","12"
"方","11","12"
"科","11","11"
"存","11","11"
"向","11","11"
"企","10","19"
"货","10","16"
"化","10","15"
"额","10","14"
"约","10","14"
"系","10","14"
"研","10","14"
"影","10","13"
"都","10","12"
"资","10","12"
"让","10","12"
"界","10","12"
"明","10","12"
"德","10","12"
"布","10","12"
"创","10","12"
"达","10","11"
"没","10","11"
"术","10","11"
"未","10","11"
"强","10","11"
"应","10","11"
"学","10","11"
"备","10","11"
"务","10","11"
"分","10","11"
"几","10","11"
"两","10","11"
"世","10","11"
"设","10","10"
"然","10","10"
"主","10","10"
"币","9","19"
"集","9","16"
"感","9","13"
"升","9","13"
"车","9","12"
"点","9","12"
"作","9","12"
"近","9","11"
"结","9","11"
"毒","9","11"
"复","9","11"
"合","9","11"
"立","9","10"
"着","9","10"
"施","9","10"
"手","9","10"
"并","9","10"
"实","9","10"
"较","9","9"
"精","9","9"
"普","9","9"
"天","9","9"
"使","9","9"
"付","9","9"
"事","9","9"
"越","8","16"
"运","8","15"
"半","8","14"
"次","8","13"
"富","8","12"
"风","8","11"
"济","8","11"
"格","8","11"
"息","8","11"
"小","8","11"
"里","8","10"
"视","8","10"
"获","8","10"
"润","8","10"
"款","8","10"
"接","8","10"
"华","8","10"
"供","8","10"
"论","8","9"
"纪","8","9"
"由","8","9"
"率","8","9"
"测","8","9"
"政","8","9"
"推","8","9"
"才","8","9"
"总","8","9"
"免","8","9"
"仍","8","9"
"相","8","8"
