"2gram","number of tweets","count"
"中国","553","820"
"美国","396","507"
"公司","330","433"
"日本","302","551"
"星期","255","282"
"台湾","193","303"
"可能","176","200"
"总统","168","226"
"全球","155","197"
"政府","154","168"
"市场","135","160"
"美元","133","168"
"表示","133","141"
"中國","128","258"
"经济","122","174"
"国家","122","135"
"投资","115","150"
"今年","115","124"
"世界","102","114"
"正在","100","106"
"首次","99","101"
"发生","96","107"
"去年","95","105"
"问题","93","97"
"年的","93","97"
"宣布","93","95"
"一个","91","94"
"的一","89","91"
"企业","88","109"
"计划","85","91"
"最大","85","88"
"航空","84","107"
"安全","84","95"
"新加","80","108"
"加坡","80","108"
"显示","79","81"
"没有","77","84"
"企業","76","109"
"国大","76","82"
"制造","75","84"
"分析","75","80"
"南洋","75","79"
"成为","75","77"
"进行","74","75"
"日元","73","113"
"新年","73","84"
"认为","72","76"
"持续","72","74"
"洋商","71","71"
"商报","71","71"
"苹果","70","106"
"股市","70","90"
"增加","70","76"
"超过","70","74"
"大陆","69","85"
"目前","69","72"
"增长","68","90"
"在中","68","83"
"亿美","68","80"
"该公","68","76"
"影响","68","71"
"新高","67","77"
"数据","67","70"
"以及","67","69"
"以来","66","70"
"汽车","65","110"
"最高","65","75"
"政治","65","73"
"人士","64","68"
"出现","64","67"
"造成","64","66"
"选举","63","80"
"地区","63","68"
"国际","63","66"
"一名","63","66"
"包括","63","65"
"部分","63","63"
"飞机","62","88"
"巨头","62","64"
"可以","62","64"
"预计","62","63"
"民众","61","71"
"春节","61","71"
"人员","61","66"
"提供","61","64"
"农历","61","64"
"罗斯","60","74"
"国的","60","65"
"主要","60","65"
"工作","60","61"
"俄罗","59","73"
"智能","59","67"
"国国","59","59"
"选人","58","67"
"国民","58","67"
"开始","58","61"
"媒体","58","60"
"他们","57","66"
"交易","57","63"
"举行","57","60"
"一些","57","60"
"菲律","56","86"
"人民","56","75"
"科技","56","64"
"達到","56","59"
"其中","56","58"
"已经","56","57"
"美國","55","82"
"电动","55","82"
