"1gram","number of tweets","count"
"的","5710","13728"
"在","3622","5256"
"中","3345","5974"
"一","2939","4249"
"国","2845","5514"
"日","2765","4695"
"大","2391","3341"
"人","2332","3570"
"年","2255","3554"
"美","1928","3013"
"是","1870","2523"
"和","1842","2333"
"月","1785","2343"
"上","1778","2317"
"了","1755","2219"
"出","1721","2159"
"有","1687","2153"
"新","1634","2189"
"不","1543","1953"
"以","1443","1715"
"成","1403","1720"
"行","1350","1733"
"家","1346","1683"
"公","1303","1716"
"为","1299","1558"
"到","1269","1479"
"地","1261","1664"
"期","1253","1479"
"能","1244","1641"
"本","1229","2046"
"高","1228","1574"
"来","1208","1420"
"发","1195","1439"
"市","1188","1608"
"下","1152","1411"
"國","1149","2819"
"对","1131","1390"
"前","1123","1288"
"生","1119","1472"
"最","1108","1305"
"这","1103","1322"
"多","1088","1267"
"全","1046","1290"
"加","1044","1319"
"将","1029","1195"
"会","1001","1336"
"近","961","1079"
"可","959","1140"
"部","911","1157"
"司","890","1194"
"时","874","1043"
"要","874","1020"
"动","873","1057"
"个","851","985"
"海","826","1350"
"方","825","1003"
"也","824","899"
"表","823","940"
"度","812","1031"
"工","806","1139"
"外","803","1063"
"之","795","894"
"者","794","948"
"于","791","865"
"力","777","928"
"作","777","919"
"分","775","880"
"示","771","834"
"业","770","1048"
"商","770","934"
"天","769","974"
"后","765","855"
"用","755","974"
"与","752","862"
"元","751","1242"
"南","751","957"
"政","749","980"
"主","740","847"
"次","739","883"
"自","736","865"
"斯","734","1147"
"正","731","807"
"面","729","847"
"但","729","761"
"合","726","880"
"现","714","847"
"至","714","814"
"其","713","777"
"等","710","813"
"已","700","760"
"民","698","987"
"星","688","840"
"入","688","800"
"长","687","851"
"重","687","780"
"场","677","789"
"开","676","789"
"同","674","830"
"首","674","782"
"机","673","998"
"增","667","1007"
"平","661","821"
"為","656","895"
"布","649","721"
"过","648","736"
"进","643","733"
"事","641","744"
"今","641","698"
"提","633","707"
"名","632","752"
"报","632","702"
"法","630","827"
"利","630","803"
"数","629","791"
"比","628","829"
"受","628","684"
"交","619","771"
"起","615","687"
"特","614","817"
"相","609","679"
"台","608","1019"
"通","608","755"
"制","607","713"
"他","602","755"
"三","602","705"
"造","602","675"
"说","591","647"
