"1gram","number of tweets","count"
"的","8746","22929"
"国","5679","11467"
"在","5439","8244"
"一","4346","6117"
"中","4240","7230"
"日","3882","6918"
"大","3406","4686"
"年","3404","5387"
"和","3225","4155"
"为","3182","4032"
"人","3040","4764"
"上","2930","3909"
"月","2930","3894"
"美","2910","4850"
"了","2889","3661"
"出","2876","3751"
"是","2865","3655"
"有","2814","3573"
"新","2784","3825"
"将","2692","3511"
"来","2689","3193"
"对","2589","3300"
"以","2508","2936"
"不","2480","3194"
"本","2453","4086"
"发","2420","3120"
"这","2396","2835"
"能","2237","2882"
"家","2159","2698"
"加","2123","2836"
"公","2081","2875"
"行","2054","2682"
"下","2054","2590"
"到","2054","2413"
"成","2038","2518"
"高","1982","2524"
"业","1952","3033"
"个","1951","2352"
"最","1930","2259"
"于","1927","2191"
"期","1926","2288"
"全","1918","2355"
"前","1888","2164"
"会","1862","2467"
"可","1767","2110"
"时","1750","2108"
"经","1742","2345"
"动","1730","2273"
"生","1709","2231"
"多","1671","1947"
"市","1661","2304"
"现","1652","1946"
"地","1646","2144"
"长","1617","2079"
"开","1597","1915"
"产","1593","2396"
"进","1569","1855"
"后","1569","1743"
"过","1528","1743"
"部","1514","1837"
"要","1495","1772"
"司","1488","2017"
"也","1459","1613"
"制","1450","1807"
"与","1447","1647"
"情","1446","1745"
"示","1443","1614"
"增","1440","2104"
"但","1409","1495"
"表","1404","1612"
"场","1393","1698"
"政","1392","1840"
"斯","1391","2223"
"周","1386","1592"
"用","1369","1794"
"数","1368","1760"
"元","1358","2332"
"机","1356","1923"
"等","1337","1550"
"度","1334","1694"
"通","1322","1600"
"方","1321","1582"
"面","1299","1537"
"已","1296","1433"
"力","1260","1481"
"计","1256","1520"
"资","1250","1874"
"球","1249","1675"
"之","1241","1340"
"天","1240","1593"
"入","1237","1466"
"至","1237","1435"
"者","1220","1479"
"外","1215","1494"
"电","1212","2259"
"重","1210","1398"
"其","1207","1376"
"分","1202","1408"
"正","1188","1334"
"疫","1186","1651"
"关","1172","1394"
"工","1167","1785"
"价","1163","1756"
"体","1155","1576"
"说","1151","1281"
"比","1139","1417"
"应","1128","1331"
"利","1119","1401"
"首","1082","1229"
"受","1079","1184"
"次","1078","1231"
"提","1059","1217"
"导","1056","1432"
"而","1053","1115"
"内","1045","1173"
"员","1037","1329"
"自","1037","1199"
"济","1027","1445"
"布","1027","1144"
"万","1024","1413"
"商","1022","1274"
"持","1022","1160"
"作","1019","1221"
"从","1002","1099"
"合","1001","1208"
"近","1001","1113"
"续","994","1090"
"克","993","1318"
"该","991","1146"
"他","990","1259"
"达","989","1134"
"同","988","1138"
"因","985","1064"
"并","984","1041"
"定","983","1104"
"三","979","1119"
"企","972","1493"
"约","971","1176"
"亚","968","1254"
"平","961","1121"
"实","961","1103"
"星","959","1111"
"民","950","1195"
"起","949","1099"
"主","949","1080"
"向","948","1070"
"海","936","1391"
"量","936","1283"
"化","936","1206"
"法","933","1240"
"今","921","992"
"被","915","1039"
"品","901","1259"
"预","894","1114"
"供","894","1082"
"冠","890","1047"
"口","889","1328"
"相","880","973"
"间","878","973"
"及","860","926"
"据","858","992"
"投","856","1141"
"名","854","1053"
"总","849","1013"
"得","848","923"
"罗","846","1282"
"亿","844","1188"
"此","844","895"
"称","843","909"
"两","842","946"
"车","841","1647"
"台","841","1463"
"府","841","975"
"交","840","1037"
"格","837","1063"
"更","837","956"
"第","836","1014"
"世","832","1063"
"当","832","916"
"造","831","962"
"界","823","1010"
"金","822","1153"
"西","816","1006"
"求","816","941"
"务","803","1013"
"马","801","1093"
"股","793","1337"
"特","792","1085"
"强","782","883"
"调","781","922"
"联","780","955"
"影","779","888"
"明","776","863"
"俄","773","1359"
"性","773","913"
