"1gram","number of tweets","count"
"的","5569","14634"
"国","3954","8467"
"在","3586","5411"
"中","3103","5555"
"一","2874","4093"
"日","2305","4212"
"年","2229","3556"
"大","2227","3045"
"人","2173","3351"
"为","2108","2726"
"美","2087","3470"
"和","2072","2630"
"了","1786","2318"
"是","1771","2320"
"出","1763","2313"
"有","1745","2216"
"上","1737","2251"
"月","1735","2333"
"将","1706","2229"
"来","1644","1987"
"对","1637","2090"
"新","1628","2160"
"发","1626","2011"
"这","1544","1840"
"不","1539","1965"
"公","1493","2054"
"以","1493","1769"
"本","1454","2491"
"能","1448","1869"
"期","1410","1667"
"行","1393","1848"
"业","1351","2083"
"成","1331","1642"
"家","1311","1639"
"下","1284","1645"
"个","1258","1554"
"最","1220","1421"
"到","1213","1450"
"高","1203","1535"
"加","1189","1515"
"于","1181","1343"
"会","1168","1547"
"动","1145","1464"
"前","1141","1291"
"可","1138","1355"
"全","1106","1344"
"司","1101","1523"
"多","1100","1280"
"现","1091","1248"
"经","1085","1427"
"市","1079","1474"
"时","1075","1277"
"地","1067","1407"
"过","1029","1160"
"产","1012","1460"
"生","1001","1293"
"开","995","1221"
"长","984","1267"
"机","982","1378"
"后","975","1108"
"用","943","1240"
"部","929","1136"
"示","926","1007"
"数","921","1192"
"进","921","1105"
"度","918","1210"
"与","910","1051"
"要","906","1090"
"资","896","1352"
"也","879","967"
"但","877","930"
"场","867","1084"
"政","858","1097"
"表","856","958"
"元","844","1324"
"制","835","1092"
"关","826","978"
"等","824","960"
"计","820","980"
"其","817","936"
"正","816","900"
"方","809","964"
"已","808","874"
"电","803","1372"
"外","803","1015"
"者","795","973"
"面","780","967"
"之","778","848"
"至","775","894"
"布","774","851"
"分","773","893"
"增","771","1093"
"周","771","917"
"星","770","894"
"工","753","1104"
"入","748","890"
"力","748","885"
"体","746","997"
"利","736","985"
"近","729","798"
"作","725","863"
"说","722","815"
"价","719","1069"
"海","711","1042"
"情","707","812"
"他","699","863"
"重","697","825"
"通","689","814"
"员","686","905"
"比","682","892"
"商","682","883"
"同","677","773"
"提","675","773"
"并","673","701"
"球","668","870"
"投","666","917"
"内","666","759"
"次","648","740"
"而","642","689"
"导","640","842"
"首","635","720"
"该","633","734"
"从","630","702"
"达","629","752"
"斯","627","945"
"受","626","701"
"台","625","1043"
"天","625","751"
"民","623","816"
"因","621","684"
"应","620","722"
"企","612","881"
"务","610","737"
"间","609","688"
"万","608","835"
"持","608","725"
"合","606","711"
"今","606","657"
"称","605","646"
"平","604","719"
"股","602","1041"
"主","602","692"
"据","601","691"
"亚","598","800"
"三","598","672"
"量","592","820"
"续","591","665"
"定","587","655"
"交","586","724"
"自","586","713"
"被","584","654"
"实","584","649"
"总","576","666"
"约","575","676"
"造","568","652"
"金","567","824"
"强","565","620"
"法","560","700"
"向","560","623"
"此","557","588"
"及","555","608"
"济","554","772"
"报","554","656"
"起","554","609"
"预","553","666"
"车","552","1126"
"名","551","648"
"更","551","637"
"得","549","603"
"相","548","607"
"品","547","777"
"府","545","621"
"果","534","681"
"两","534","607"
"技","532","670"
"指","531","691"
"特","529","731"
"求","527","611"
"第","524","626"
"事","524","615"
"使","519","590"
"当","513","560"
"化","510","639"
"亿","506","698"
"创","503","571"
"口","499","773"
"目","496","540"
"设","493","631"
"统","493","574"
"还","492","524"
"引","490","523"
"华","487","627"
"性","486","594"
"们","485","609"
"些","482","553"
"消","479","579"
"道","479","544"
"水","477","673"
"调","475","561"
"少","474","557"
"去","473","516"
"超","469","546"
"管","466","557"
"马","465","637"
"系","465","539"
"所","459","504"
"收","457","569"
"就","456","512"
"降","452","600"
"影","451","540"
"显","450","481"
"推","448","509"
"如","447","497"
"理","446","549"
"半","445","640"
"士","445","565"
"需","445","535"
"减","444","596"
"科","441","524"
"手","440","539"
"着","439","471"
"格","436","543"
"供","434","519"
"区","434","512"
"点","432","539"
"东","429","576"
"联","424","514"
"位","424","466"
"二","423","487"
"都","421","480"
"低","419","502"
"议","418","541"
"心","417","465"
"展","414","468"
"际","414","452"
"意","411","455"
"放","409","473"
"安","405","490"
"风","404","518"
"认","403","434"
"售","402","514"
"界","398","453"
"问","398","452"
"未","398","420"
"易","394","497"
"头","394","425"
"西","393","478"
"尔","393","465"
"由","393","423"
"拉","389","527"
