"2gram","number of tweets","count"
"中国","2811","4622"
"美国","1867","2624"
"公司","1338","1820"
"日本","1228","2292"
"星期","865","935"
"可能","793","885"
"市场","728","894"
"全球","718","856"
"经济","685","955"
"表示","682","727"
"投资","670","906"
"政府","652","745"
"美元","611","808"
"企业","598","809"
"国的","569","631"
"国家","543","627"
"今年","499","533"
"正在","487","510"
"一个","478","525"
"影响","442","473"
"的一","421","440"
"台湾","403","576"
"总统","403","499"
"世界","400","449"
"宣布","394","409"
"成为","393","413"
"增长","390","508"
"最大","387","409"
"计划","380","419"
"以来","380","407"
"出现","380","399"
"价格","377","476"
"认为","374","395"
"显示","372","386"
"在中","370","435"
"增加","366","417"
"汽车","359","626"
"制造","352","403"
"问题","350","385"
"亿美","345","405"
"科技","344","404"
"人士","339","369"
"进行","336","351"
"技术","335","410"
"开始","331","355"
"超过","327","350"
"个月","322","359"
"没有","320","339"
"年的","319","335"
"数据","315","347"
"目前","310","317"
"持续","309","326"
"苹果","308","456"
"需求","307","365"
"消费","304","388"
"出口","302","507"
"发布","301","323"
"这是","301","306"
"产品","300","367"
"首次","297","313"
"国际","295","342"
"研究","295","338"
"疫情","290","337"
"生产","289","360"
"资者","289","340"
"来的","288","301"
"使用","285","330"
"年来","285","301"
"该公","283","306"
"国国","283","299"
"时间","281","302"
"预计","279","301"
"发生","279","291"
"上涨","278","382"
"部分","277","294"
"的最","276","288"
"销售","275","328"
"日元","273","460"
"导体","273","443"
"交易","273","340"
"导致","273","276"
"包括","272","278"
"半导","270","438"
"分析","267","282"
"减少","266","322"
"智能","266","320"
"地区","266","300"
"达到","265","288"
"大的","264","274"
"提供","263","283"
"安全","261","289"
"通过","260","271"
"关系","258","301"
"一些","258","282"
"业务","257","310"
"下降","256","320"
"他们","256","290"
"罗斯","255","380"
"的新","255","264"
"已经","254","271"
"以及","254","265"
"人民","253","309"
"政策","253","285"
"行业","252","290"
"将在","252","271"
"银行","250","381"
"印度","249","422"
"其他","249","261"
"俄罗","247","362"
"集团","247","306"
"供应","247","291"
"可以","245","266"
"合作","244","293"
"电动","243","317"
"机构","242","266"
"这些","241","254"
"方面","239","270"
"国政","239","255"
"主要","238","255"
"新加","237","312"
"第一","237","253"
"最高","236","256"
"情况","236","239"
"媒体","234","257"
"如果","232","232"
"加坡","231","306"
"发展","229","249"
"巨头","229","238"
"菲律","228","342"
"律宾","228","342"
"工作","228","270"
"在美","228","242"
"的中","226","238"
"风险","224","241"
"随着","224","225"
"这一","221","227"
"由于","221","227"
"调查","220","250"
"相关","220","229"
"造成","220","227"
"因为","220","224"
"扩大","218","232"
"了一","217","219"
"去年","216","222"
"水平","213","223"
"开发","212","254"
"措施","212","234"
"发现","212","229"
"国内","211","227"
"公布","209","219"
"芯片","208","276"
"指数","207","284"
"对中","207","222"
"一步","207","210"
"报道","206","223"
"现在","205","209"
"面临","202","209"
"一项","202","205"
"的人","201","218"
"继续","200","205"
"国大","199","212"
"引发","199","203"
"推出","198","221"
"手机","197","259"
"领域","197","221"
"要求","196","210"
"股票","195","250"
"连续","194","216"
"竞争","194","213"
"提高","194","209"
"希望","194","202"
"之一","194","196"
"韩国","193","271"
"预期","193","221"
"同时","193","195"
"在日","192","216"
"最新","192","196"
"作为","191","200"
"针对","191","196"
"民币","190","232"
"人工","190","227"
"规模","190","206"
"需要","189","204"
"获得","189","199"
"未来","189","197"
"北京","187","218"
"这个","187","191"
"业的","186","198"
"进一","185","188"
"新高","184","205"
"官员","184","201"
"重要","184","198"
"人员","182","197"
"实现","182","193"
"设备","181","233"
"同比","181","204"
"消息","181","194"
"司的","179","189"
"许多","179","188"
"更多","178","182"
"过去","178","180"
"视频","177","201"
"活动","177","198"
"限制","176","203"
"支持","176","197"
"一名","176","183"
"欧洲","173","219"
"果公","173","198"
"股市","171","204"
"中心","171","189"
"第二","171","175"
"利润","170","246"
"外交","170","202"
"的日","170","183"
"其中","170","172"
"中美","169","198"
"国人","169","194"
"金融","168","218"
"工智","168","202"
"恢复","168","192"
"新的","168","176"
"国和","168","172"
"大幅","167","178"
"的大","166","173"
"根据","166","169"
"受到","165","170"
"动汽","164","199"
"国经","164","196"
"最近","164","168"
"特斯","163","252"
"斯拉","163","252"
"贸易","163","216"
"举行","163","166"
"原因","163","164"
"海外","162","194"
"股价","162","180"
"行动","161","170"
"当地","161","167"
"关注","161","167"
"人的","160","166"
"指出","160","162"
"服务","159","193"
"历史","159","165"
"前的","159","164"
"期五","159","161"
"利率","158","211"
"部长","158","171"
"一家","158","169"
"年以","158","164"
"下跌","157","207"
"本的","157","171"
"不会","157","165"
"带来","157","160"
"工厂","156","211"
"主席","156","166"
"场的","156","164"
"存在","156","158"
"担忧","156","156"
"大陆","155","202"
"西亚","155","163"
"中的","155","163"
"货币","154","201"
"民众","154","178"
"造商","154","167"
"如何","154","167"
"的是","154","158"
"政治","153","167"
"元的","153","163"
"透露","153","155"
"此前","153","154"
"组织","152","161"
"季度","150","180"
"联合","150","164"
"一直","150","152"
"不过","150","150"
"亚洲","149","186"
"加强","149","158"
"布的","149","153"
"费者","147","158"
"的国","146","153"
"是一","146","152"
"这家","146","150"
"能会","146","149"
"员工","145","194"
"行的","144","149"
"的情","144","145"
"香港","143","194"
"收入","142","163"
"什么","142","154"
"推动","142","147"
"上的","142","143"
"进口","141","189"
"系统","141","157"
"能源","140","186"
"处理","140","177"
"协议","140","161"
"报告","140","152"
"执行","140","151"
"之际","140","141"
"美联","139","178"
"游客","138","196"
"知情","138","146"
"电池","137","249"
"死亡","137","155"
"平台","137","154"
"很多","137","145"
"国民","136","168"
"长期","136","149"
"以上","136","142"
"的经","136","140"
"旅游","135","194"
"联储","135","179"
"成本","135","159"
"决定","135","144"
"之间","135","141"
"实施","135","139"
"资金","134","152"
"进入","134","144"
"情人","134","142"
"东京","133","188"
"我们","133","170"
"一年","133","136"
"期三","133","134"
"来最","132","140"
"这种","132","137"
"通胀","131","167"
"上市","131","160"
"期间","131","140"
"严重","131","134"
"期一","130","134"
"平均","129","158"
"所有","129","131"
"人数","128","154"
"自己","128","146"
"全面","128","133"
"至少","128","132"
"为了","128","130"
"与中","127","140"
"委员","127","136"
"的美","127","133"
"吸引","127","133"
"外国","126","157"
"期天","126","128"
"期六","126","126"
"近平","125","149"
"习近","125","149"
"监管","125","140"
"结束","125","133"
"越来","125","130"
"尔街","125","128"
"华尔","125","128"
"表明","125","127"
"虽然","125","126"
"是否","124","139"
"截至","124","125"
"大型","123","133"
"学家","123","130"
"是中","123","128"
"不断","123","128"
"中國","122","271"
"危机","122","142"
"记者","122","129"
"来越","122","128"
"马来","122","126"
"月的","122","125"
"年度","121","147"
"采取","121","125"
"左右","121","125"
"到了","121","122"
"之前","121","121"
"德国","120","168"
"系列","120","137"
"的投","120","129"
"新冠","119","145"
"两国","119","132"
"周二","119","125"
"准备","119","122"
"的影","119","121"
"年前","119","121"
"之后","119","121"
"出的","119","119"
"冠病","118","137"
"月份","118","135"
"领导","118","128"
"成功","118","126"
"上升","118","125"
"的地","118","123"
"再次","118","120"
"尽管","118","119"
"除了","118","118"
"的时","118","118"
"禁止","117","137"
"的股","117","130"
"产业","117","129"
"来自","117","124"
"期二","117","121"
"出了","117","119"
"事件","116","125"
"人们","116","122"
"提出","116","121"
"用于","116","119"
"无法","116","118"
"克兰","115","141"
"华为","114","186"
"航空","114","143"
"管理","114","130"
"低迷","114","121"
"来西","114","116"
"色列","113","159"
"以色","113","159"
"城市","113","145"
"放缓","113","121"
"乌克","112","138"
"上海","112","137"
"首席","112","125"
"目标","112","122"
"官方","112","119"
"挑战","112","116"
"达成","112","114"
"强调","112","113"
"期四","111","118"
"复苏","111","117"
"不同","111","117"
"析师","111","116"
"旗下","111","116"
"展开","111","113"
"在一","111","112"
"保持","111","112"
"令吉","110","129"
"时代","110","119"
"国股","110","118"
"的数","110","116"
"新一","110","116"
"品的","110","113"
"有关","110","110"
"品牌","109","140"
"应用","109","127"
"能力","109","117"
"利用","109","114"
"的高","109","113"
"员会","109","111"
"为中","109","111"
"大学","108","140"
"部门","108","119"
"相比","108","111"
"甚至","108","111"
"台积","107","162"
"积电","107","161"
"英伟","107","154"
"伟达","107","154"
"表现","107","117"
"商业","107","116"
"陷入","107","110"
"大量","107","110"
"近期","107","109"
"有一","107","109"
"面对","107","108"
"马斯","106","142"
"选人","106","132"
"材料","106","124"
"环境","106","119"
"本周","106","109"
"关键","106","109"
"对于","106","108"
"国在","106","108"
"寻求","106","107"
"万人","105","127"
"购买","105","120"
"个人","105","116"
"国公","105","115"
"价值","105","115"
"紧张","105","112"
"发出","104","110"
"重新","104","107"
"将于","104","105"
"多的","104","105"
"泰国","103","149"
"福岛","103","132"
"电子","103","116"
"压力","103","110"
"应对","103","109"
"接受","103","105"
"基金","102","141"
"商品","102","128"
"会议","102","114"
"的电","102","111"
"第三","102","105"
"周三","102","104"
"加息","101","137"
"万亿","101","136"
"标普","101","114"
"下滑","101","113"
"后的","101","106"
"拥有","101","104"
"周四","101","104"
"的关","101","102"
"在全","101","102"
"销量","100","153"
"微软","100","131"
"资产","100","122"
"网络","100","122"
"国海","100","122"
"预测","100","113"
"战略","100","109"
"创新","100","109"
"来看","100","104"
"多年","100","103"
"下的","100","101"
"裁员","99","150"
"亿日","99","132"
"用户","99","120"
"的出","99","111"
"高管","99","105"
"降至","99","105"
"的风","99","100"
"谷歌","98","139"
"本国","98","105"
"方式","98","101"
"度的","98","101"
"目的","98","100"
"警告","98","99"
"不是","97","102"
"来首","97","101"
"一次","97","101"
"国对","97","100"
"当局","97","99"
"努力","97","99"
"董事","96","114"
"拜登","96","111"
"信息","96","107"
"的工","96","101"
"国企","96","101"
"现了","96","99"
"有可","96","98"
"内的","96","97"
"央行","95","122"
"科学","95","105"
"国外","95","103"
"联邦","95","102"
"专家","95","100"
"稳定","95","99"
"的价","95","98"
"考虑","95","97"
"者的","95","96"
"正式","95","96"
"生活","94","111"
"大利","94","110"
"战争","94","107"
"地方","94","105"
"冲突","94","101"
"行为","94","99"
"威胁","94","99"
"年底","94","98"
"担心","94","97"
"创办","94","97"
"的生","94","96"
"明年","94","96"
"据显","94","95"
"另一","94","94"
"军事","93","110"
"利亚","93","107"
"增至","93","105"
"应链","93","102"
"变化","93","96"
"月以","92","95"
"周一","92","95"
"两个","92","95"
"间的","92","93"
"加剧","92","92"
"令人","92","92"
"比增","91","102"
"讨论","91","95"
"回应","91","95"
"办人","91","94"
"和中","91","92"
"也在","91","91"
"交部","90","97"
"期的","90","94"
"大规","90","94"
"对美","90","93"
"一位","90","93"
"呼吁","90","92"
"的主","90","91"
"民党","89","119"
"纪录","89","97"
"社交","89","97"
"停止","89","95"
"来说","89","92"
"近日","89","90"
"即将","89","90"
"如今","89","89"
"欧盟","88","126"
"房地","88","111"
"半年","88","103"
"依赖","88","102"
"结果","88","93"
"周五","88","93"
"的需","88","90"
"意味","88","90"
"不到","88","90"
"取得","88","88"
"地产","87","110"
"项目","87","103"
"小时","87","93"
"创下","87","91"
"一种","87","91"
"还有","87","89"
"布了","87","88"
"一份","87","88"
"收购","86","114"
"部件","86","109"
"社会","86","107"
"建设","86","98"
"访问","86","95"
"有的","86","93"
"总理","86","92"
"选择","86","91"
"取消","86","91"
"球最","86","89"
"们的","86","89"
"家的","86","87"
"士透","86","86"
"理水","85","116"
"西方","85","100"
"行官","85","93"
"国市","85","90"
"一场","85","87"
"的重","85","86"
"应该","85","86"
"启动","85","86"
"石油","84","112"
"食品","84","111"
"等的","84","89"
"基础","84","89"
"的第","84","88"
"控制","84","88"
"开放","84","88"
"此次","84","87"
"的公","84","86"
"上周","84","86"
"的担","84","85"
"任何","84","85"
"参选","83","112"
"能手","83","96"
"设施","83","95"
"硅谷","83","94"
"大马","83","93"
"改善","83","88"
"同意","83","88"
"体的","83","88"
"非常","83","87"
"在这","83","84"
"调整","82","92"
"客户","82","91"
"强劲","82","84"
"高的","82","83"
"独家","82","83"
"是在","82","83"
"家主","82","82"
"不少","82","82"
"业绩","81","93"
"工业","81","90"
"必须","81","89"
"作的","81","88"
"同期","81","86"
"各地","81","86"
"维持","81","85"
"的全","81","84"
"市的","81","84"
"还是","81","83"
"解决","81","83"
"建立","81","83"
"这样","81","82"
"程度","81","82"
"产的","81","82"
"不仅","81","82"
"力的","81","81"
"也是","81","81"
"丰田","80","159"
"计算","80","101"
"数量","80","93"
"席执","80","88"
"新闻","80","86"
"不能","80","85"
"长的","80","84"
"产生","80","83"
"确定","80","82"
"味着","80","82"
"似乎","80","81"
"比亚","79","124"
"新年","79","90"
"数字","79","90"
"东南","79","87"
"经营","79","84"
"全国","79","84"
"的消","79","83"
"迎来","79","82"
"的发","79","82"
"专栏","79","82"
"迅速","79","81"
"因此","79","80"
"前景","79","80"
"背景","79","79"
"管制","78","107"
"亚马","78","105"
"英国","78","98"
"国电","78","90"
"约合","78","83"
"上年","78","83"
"在加","78","82"
"试图","78","79"
"市值","77","95"
"国产","77","91"
"济增","77","85"
"设计","77","83"
"共同","77","83"
"保护","77","82"
"积极","77","81"
"对手","77","81"
"代表","77","81"
"的产","77","80"
