"3gram","number of tweets","count"
"投资者","18","24"
"菲律宾","13","13"
"中国的","12","12"
"新加坡","11","14"
"美联储","11","13"
"半导体","10","20"
"俄罗斯","10","17"
"该公司","10","12"
"公司的","10","11"
"特斯拉","9","17"
"亿美元","9","13"
"历新年","9","10"
"农历新","9","10"
"星期天","9","9"
"在美国","9","9"
"国政府","9","9"
"经济衰","8","10"
"电动汽","8","10"
"济衰退","8","10"
"动汽车","8","10"
"的问题","8","9"
"在中国","8","9"
"中国国","8","9"
"美国股","8","8"
"年以来","8","8"
"国股市","8","8"
"密货币","7","10"
"加密货","7","10"
"国国家","7","8"
"以来的","7","8"
"的担忧","7","7"
"最大的","7","7"
"星期二","7","7"
"新冠疫","7","7"
"市场的","7","7"
"在日本","7","7"
"冠疫情","7","7"
"麦卡锡","6","7"
"行业的","6","7"
"索纳罗","6","7"
"制造商","6","7"
"众议院","6","7"
"以来最","6","7"
"乌克兰","6","7"
"策略师","6","6"
"的风险","6","6"
"的最高","6","6"
"疫情前","6","6"
"星期六","6","6"
"星期一","6","6"
"对中国","6","6"
"华尔街","6","6"
"前总统","6","6"
"供应链","6","6"
"中国政","6","6"
"中国大","6","6"
"个月来","6","6"
"万亿美","5","8"
"马可斯","5","7"
"年全球","5","7"
"小马可","5","7"
"轮投票","5","6"
"的情况","5","6"
"比亚迪","5","6"
"博索纳","5","6"
"共和党","5","6"
"马来西","5","5"
"马尼拉","5","5"
"院议长","5","5"
"际机场","5","5"
"通货膨","5","5"
"进一步","5","5"
"货膨胀","5","5"
"议院议","5","5"
"自中国","5","5"
"经历了","5","5"
"的企业","5","5"
"的价格","5","5"
"汽车的","5","5"
"来首次","5","5"
"来西亚","5","5"
"星期四","5","5"
"总统博","5","5"
"国际机","5","5"
"国经济","5","5"
"国大陆","5","5"
"冠病疫","5","5"
"与美国","5","5"
"苹果公","4","6"
"果公司","4","6"
"大规模","4","6"
"越来越","4","5"
"罗斯国","4","5"
"科技公","4","5"
"的数据","4","5"
"新年首","4","5"
"技公司","4","5"
"年首个","4","5"
"富士康","4","5"
"国防部","4","5"
"利率上","4","5"
"分析师","4","5"
"公布的","4","5"
"人民币","4","5"
"了一项","4","5"
"万日元","4","5"
"领导人","4","4"
"面对的","4","4"
"防部星","4","4"
"闻天下","4","4"
"部星期","4","4"
"虽然中","4","4"
"股闻天","4","4"
"股市周","4","4"
"美国等","4","4"
"统博索","4","4"
"纯电动","4","4"
"的股票","4","4"
"的美国","4","4"
"的经济","4","4"
"的科技","4","4"
"的消费","4","4"
"的日本","4","4"
"的旅客","4","4"
"的全球","4","4"
"病疫情","4","4"
"消费者","4","4"
"栏记者","4","4"
"来的最","4","4"
"是中国","4","4"
"日本新","4","4"
"日元的","4","4"
"新冠病","4","4"
"数据显","4","4"
"政策的","4","4"
"收益率","4","4"
"据显示","4","4"
"律宾总","4","4"
"席习近","4","4"
"宾总统","4","4"
"家主席","4","4"
"委员会","4","4"
"增长的","4","4"
"在今年","4","4"
"国家主","4","4"
"司表示","4","4"
"可能会","4","4"
"南中国","4","4"
"公司表","4","4"
"亿日元","4","4"
"习近平","4","4"
"之间的","4","4"
"主席习","4","4"
"为中心","4","4"
"中国海","4","4"
"中国放","4","4"
"专栏记","4","4"
"上涨的","4","4"
"一年的","4","4"
"计算机","3","7"
"交易日","3","5"
"个交易","3","5"
"与中国","3","5"
"零部件","3","4"
"阿里巴","3","4"
"里巴巴","3","4"
"车制造","3","4"
"自给自","3","4"
"给自足","3","4"
