"1gram","number of tweets","count"
"的","6122","16270"
"在","3770","5706"
"国","3469","6833"
"一","3041","4347"
"中","2695","4387"
"是","2300","3097"
"大","2272","3155"
"为","2255","2832"
"有","2217","2898"
"人","2209","3442"
"日","2186","3883"
"年","2152","3321"
"新","2139","3031"
"和","2127","2745"
"了","2014","2581"
"不","1880","2516"
"上","1853","2407"
"出","1831","2336"
"这","1794","2163"
"来","1787","2143"
"本","1768","2869"
"美","1717","2738"
"以","1708","2017"
"将","1706","2246"
"发","1692","2144"
"对","1624","2035"
"能","1619","2137"
"疫","1561","2613"
"家","1501","1881"
"成","1477","1798"
"到","1465","1728"
"个","1403","1667"
"业","1358","2090"
"行","1342","1713"
"可","1339","1631"
"会","1336","1791"
"于","1323","1519"
"前","1317","1487"
"下","1315","1591"
"加","1300","1652"
"公","1296","1799"
"生","1283","1692"
"高","1264","1561"
"月","1257","1631"
"多","1253","1482"
"全","1245","1519"
"情","1244","1503"
"过","1238","1433"
"冠","1236","1513"
"现","1235","1440"
"最","1211","1375"
"时","1209","1458"
"用","1166","1619"
"要","1139","1361"
"动","1130","1567"
"开","1113","1354"
"但","1103","1146"
"产","1072","1589"
"后","1061","1185"
"地","1056","1358"
"表","1043","1194"
"示","1040","1155"
"也","1026","1131"
"经","1008","1301"
"增","998","1434"
"与","992","1144"
"者","979","1176"
"等","976","1178"
"种","972","1407"
"长","970","1251"
"市","968","1345"
"其","952","1089"
"之","924","1028"
"数","919","1183"
"机","918","1332"
"病","909","1597"
"度","900","1124"
"天","897","1099"
"已","891","962"
"司","887","1222"
"周","887","1007"
"体","884","1239"
"接","884","1208"
"政","876","1119"
"期","875","1036"
"部","867","1069"
"计","866","1038"
"场","864","1080"
"进","861","981"
"球","854","1091"
"制","854","1081"
"面","854","1056"
"电","845","1688"
"分","842","963"
"自","827","982"
"至","824","934"
"力","822","957"
"而","819","894"
"关","816","941"
"作","809","978"
"重","808","938"
"利","795","1037"
"方","793","944"
"们","791","1009"
"资","790","1180"
"他","781","973"
"外","773","957"
"应","773","934"
"工","767","1150"
"通","752","939"
"正","750","846"
"提","748","829"
"该","747","851"
"苗","743","1354"
"入","734","870"
"比","731","901"
"因","730","810"
"受","700","770"
"元","698","1028"
"得","697","789"
"从","692","744"
"如","684","748"
"导","682","968"
"实","674","772"
"内","673","763"
"主","671","769"
"价","668","1004"
"量","665","870"
"及","658","710"
"并","657","707"
"同","653","756"
"企","652","958"
"更","652","768"
"商","651","826"
"化","649","833"
"些","646","737"
"此","645","698"
"达","641","725"
"持","640","705"
"定","638","731"
"合","631","755"
"间","631","710"
"万","630","852"
"变","630","803"
"被","630","720"
"今","630","690"
"法","629","765"
"次","629","713"
"目","626","694"
"性","622","762"
"还","621","658"
"需","620","710"
"起","619","737"
"台","613","1098"
"首","613","686"
"近","613","657"
"说","608","683"
"员","607","765"
"供","607","737"
"当","603","667"
"投","602","827"
"约","599","709"
"使","599","674"
"相","597","672"
"强","596","673"
"民","588","735"
"品","582","847"
"果","581","720"
"向","574","644"
"金","573","840"
"求","573","661"
"都","572","626"
"股","566","951"
"续","565","620"
"据","562","645"
"府","560","641"
"车","559","1131"
"理","554","665"
"布","554","606"
"交","548","680"
"两","548","616"
"预","546","667"
"三","544","634"
"学","543","783"
"名","540","644"
"所","540","602"
"特","539","749"
"费","539","659"
"务","533","660"
"斯","532","744"
"就","532","586"
"亚","531","695"
"推","531","583"
"平","528","637"
"造","526","620"
"影","526","600"
"尔","523","669"
"心","523","596"
"第","513","601"
"超","512","578"
"德","502","630"
"亿","499","664"
"报","499","578"
"着","496","541"
"明","493","549"
"去","493","533"
"管","491","584"
"东","490","674"
"然","490","543"
"称","490","541"
"运","489","798"
"小","489","604"
"济","483","682"
"少","482","537"
"由","479","509"
"事","478","566"
"口","474","695"
"界","474","526"
"意","474","514"
"显","474","511"
"技","472","602"
"格","471","599"
"选","471","577"
"位","470","532"
"收","467","618"
"世","463","535"
"认","463","492"
"无","455","516"
"半","454","712"
"西","452","555"
"指","452","525"
"创","452","508"
"手","451","572"
"放","451","539"
"里","445","520"
"设","441","585"
"道","440","506"
"低","440","493"
"马","437","579"
"未","435","474"
"海","427","618"
"保","426","502"
"原","423","481"
"货","422","578"
"消","422","495"
"总","422","493"
"联","421","519"
"划","419","474"
"子","417","550"
"响","416","440"
"或","415","457"
"物","414","574"
"没","411","453"
"水","410","546"
"例","409","591"
"代","407","479"
"欧","406","605"
"问","406","459"
"点","405","465"
"率","404","510"
"看","404","469"
"题","404","455"
"始","403","423"
"科","402","485"
"调","399","480"
"士","399","477"
"何","399","447"
"让","395","419"
"区","392","462"
"引","392","407"
"际","389","445"
"易","388","465"
"感","387","476"
"施","387","445"
"展","386","421"
"洲","383","514"
"研","378","469"
"解","378","410"
"毒","376","529"
"售","376","482"
"克","376","469"
"件","376","460"
"型","373","464"
"风","372","449"
"确","372","407"
"基","371","470"
"系","370","424"
"好","370","417"
"我","367","503"
"建","367","436"
"升","367","402"
"备","365","450"
"统","362","433"
"湾","359","618"
"议","358","443"
"降","358","416"
"反","358","408"
"只","358","402"
"回","358","393"
"再","357","381"
"减","356","431"
"复","356","420"
"集","355","418"
"争","353","401"
"么","351","413"
"气","350","476"
"战","350","419"
"取","350","386"
"京","348","472"
"立","345","432"
"头","344","372"
"信","342","431"
"购","341","446"
"安","341","424"
"很","341","374"
"网","336","443"
"专","335","385"
"付","334","373"
"致","333","349"
"视","332","388"
"汽","331","541"
"领","331","398"
"许","330","355"
"准","329","381"
"打","329","376"
"英","328","433"
"额","325","391"
"究","324","386"
"各","324","364"
"活","323","370"
"拉","322","418"
"传","322","375"
"涨","321","505"
"式","321","368"
"获","321","353"
"社","317","362"
"流","316","346"
"支","313","357"
"术","312","392"
"结","312","334"
"仍","311","325"
"局","310","339"
"华","308","379"
"标","308","364"
"文","308","349"
"速","307","343"
"势","307","339"
"常","305","345"
"二","305","344"
"精","305","318"
"告","304","352"
"项","302","335"
"销","300","376"
"规","300","339"
"币","299","528"
"担","299","318"
"空","298","461"
"防","296","354"
"转","294","337"
"采","294","331"
"存","293","355"
"给","293","310"
"带","292","318"
"团","291","342"
"南","289","376"
"程","289","321"
"客","288","354"
"份","288","331"
"况","287","307"
"几","287","300"
"境","285","345"
"构","285","309"
"险","284","330"
"知","284","315"
"密","283","349"
"令","282","312"
"厂","281","417"
"难","281","305"
"闻","281","293"
"单","280","332"
"论","280","318"
"改","280","317"
"决","278","302"
"众","277","311"
"望","276","297"
"控","275","302"
"随","275","279"
"击","274","293"
"严","273","289"
"奥","271","446"
"每","271","307"
"步","271","294"
"样","271","290"
"快","271","285"
"测","269","339"
"非","268","305"
"处","268","305"
"越","267","473"
"北","267","317"
"门","267","302"
"染","266","339"
"举","265","296"
"坡","264","359"
"包","263","289"
"宣","262","282"
"片","260","358"
"短","260","307"
"组","260","292"
"助","259","281"
"直","259","279"
"注","259","278"
"缺","258","294"
"做","258","283"
"连","258","282"
"季","257","315"
"限","257","292"
"离","256","299"
"料","255","367"
"排","255","329"
"任","255","308"
"断","252","285"
"查","251","301"
"阿","250","321"
"模","249","278"
"款","248","331"
"户","248","309"
"完","246","269"
"共","244","290"
"效","244","275"
"想","244","268"
"临","243","266"
"域","242","280"
"四","242","264"
"服","239","297"
"权","239","288"
"你","238","312"
"路","238","287"
"巨","238","247"
"即","238","244"
"停","237","285"
"息","237","276"
"否","237","257"
"印","236","378"
"值","236","308"
"策","236","272"
"幅","236","267"
"官","236","261"
"那","236","251"
"营","235","277"
"身","235","258"
"止","235","252"
"苏","234","271"
"批","232","260"
"早","232","254"
"措","232","249"
"象","229","250"
"什","228","260"
"历","226","242"
"倍","225","264"
"游","223","334"
"它","223","255"
"紧","223","237"
"田","222","368"
"源","221","282"
"广","221","259"
"整","220","238"
"链","219","246"
"走","219","237"
"星","218","283"
"零","218","279"
"治","218","250"
"则","218","226"
"普","217","244"
"扩","217","232"
"较","217","230"
"观","216","247"
"别","216","230"
"根","216","228"
"康","215","258"
"态","215","237"
"失","215","237"
"积","213","300"
"州","213","285"
"足","212","228"
"财","211","265"
"卫","211","243"
"五","210","226"
"太","209","274"
"级","208","237"
"热","208","237"
"功","207","236"
"航","206","337"
"尼","205","281"
"波","205","233"
"线","205","229"
"除","205","215"
"女","203","290"
"监","203","250"
"列","202","233"
"析","202","218"
"食","200","290"
"继","200","204"
"类","199","232"
"史","199","216"
"试","198","239"
"诊","198","231"
"字","197","309"
"医","197","265"
"把","197","209"
"死","196","254"
"抗","196","219"
"状","196","209"
"买","194","228"
"免","194","220"
"罗","192","251"
"院","192","236"
"底","192","203"
"希","191","201"
"巴","190","295"
"岁","190","234"
"富","189","253"
"瑞","189","229"
"护","189","223"
"竞","189","219"
"仅","189","202"
"见","189","201"
"极","188","222"
"装","187","238"
"协","187","231"
"师","187","213"
"具","187","197"
"证","186","213"
"山","185","242"
"旅","184","263"
"频","184","213"
"必","184","198"
"容","183","213"
"环","183","209"
"票","182","274"
"益","182","216"
"十","182","193"
"激","182","191"
"苹","181","267"
"警","181","201"
"居","181","199"
"破","181","193"
"先","181","193"
"火","180","258"
"城","180","237"
"纳","180","215"
"曾","179","187"
"案","178","203"
"评","178","196"
"兰","177","224"
"验","177","207"
"张","177","193"
"纪","177","189"
"米","176","258"
"形","176","191"
"住","175","197"
"括","175","182"
"节","174","218"
"器","173","249"
"景","173","189"
"初","173","182"
"军","172","242"
"危","172","197"
"言","172","196"
"压","172","184"
"针","171","195"
"占","170","199"
"号","170","195"
"色","169","214"
"己","169","182"
"维","168","198"
"声","168","178"
"剂","167","225"
"候","167","198"
"威","167","190"
"终","167","172"
"律","166","214"
"办","166","200"
"群","165","187"
"检","164","209"
"录","164","184"
"陆","163","201"
"记","163","180"
"乎","163","169"
"店","162","258"
"融","162","209"
"暴","162","184"
"房","160","259"
"药","160","254"
"均","159","182"
"又","159","163"
"池","158","334"
"亡","158","197"
"跌","157","236"
"往","157","197"
"席","157","173"
"才","157","172"
"须","156","168"
"遭","156","159"
"另","155","156"
"轻","154","185"
"请","154","182"
"清","154","174"
"媒","154","173"
"远","153","183"
"却","153","157"
"牌","152","205"
"算","152","191"
"延","152","165"
"段","152","160"
"且","152","154"
"条","151","164"
"访","151","163"
"吗","151","156"
"百","150","170"
"她","149","209"
"冲","149","168"
"忧","149","153"
"港","148","204"
"参","148","164"
"依","148","162"
"负","148","161"
"土","147","201"
"像","147","170"
"独","147","165"
"考","147","153"
"油","146","252"
"银","146","195"
"队","146","186"
"赛","145","230"
"缓","145","156"
"露","145","154"
"突","145","154"
"教","144","188"
"质","144","159"
"丰","143","227"
"福","143","177"
"登","143","163"
"边","142","168"
"图","142","164"
"街","142","152"
"背","142","149"
"似","142","147"
"材","141","194"
"飞","140","212"
"软","140","191"
"乐","140","160"
"核","139","200"
"光","138","193"
"盟","138","192"
"优","138","170"
"味","137","157"
"估","137","152"
"急","137","147"
"储","136","201"
"六","135","149"
"透","135","146"
"启","135","145"
"满","135","144"
"待","135","140"
"兴","134","166"
"属","134","160"
"岛","133","210"
"卡","133","183"
"班","133","178"
"站","133","164"
"落","133","141"
"异","132","160"
"够","132","139"
"健","131","150"
"韩","130","208"
"老","130","162"
"委","130","154"
"双","130","148"
"端","129","152"
"话","129","140"
"尽","129","130"
"石","128","183"
"润","128","172"
"温","128","145"
"虽","128","130"
"芯","127","198"
"配","127","153"
"辉","127","142"
"追","127","140"
"微","126","165"
"播","126","139"
"塔","125","152"
"略","125","140"
"松","124","156"
"花","123","172"
"株","123","152"
"拥","123","131"
"移","122","153"
"隔","122","144"
"缩","122","139"
"真","121","135"
"昨","121","135"
"迎","121","125"
"菲","120","172"
"识","120","137"
"织","120","130"
"命","119","130"
"爆","119","127"
"封","118","136"
"吉","117","150"
"拿","117","132"
"久","116","120"
"谷","115","166"
"承","115","124"
"趋","115","117"
"胀","114","170"
"香","114","143"
"贸","114","138"
"素","114","132"
"照","114","131"
"截","114","118"
"疗","113","160"
"症","113","158"
"义","113","139"
"智","113","133"
"退","113","129"
"责","113","125"
"挑","113","118"
"围","113","118"
"虑","113","117"
"音","112","141"
"输","112","123"
"禁","111","133"
"讨","111","118"
"寻","111","113"
"央","110","136"
"恢","110","122"
"暂","110","118"
"债","109","161"
"索","109","155"
"订","109","150"
"置","109","118"
"摘","109","109"
"餐","108","162"
"库","108","147"
"晚","108","123"
"择","108","116"
"遇","107","114"
"板","106","141"
"友","106","135"
"互","106","135"
"纯","105","165"
"载","105","123"
"执","105","113"
"吸","105","113"
"儿","104","141"
"伊","104","139"
"留","104","116"
"困","104","115"
"顾","104","107"
"河","103","151"
"男","102","125"
"剧","102","109"
"深","102","108"
"育","101","132"
"患","101","123"
"室","101","113"
"疑","101","109"
"宾","100","135"
"省","100","126"
"博","100","119"
"损","100","117"
"稳","100","108"
"帮","100","107"
"船","99","176"
"歌","99","142"
"林","99","124"
"避","99","106"
"络","98","120"
"假","98","116"
"脱","98","114"
"演","98","114"
"甚","98","98"
"碳","97","157"
"俄","96","147"
"泰","96","136"
"净","96","123"
"黑","96","112"
"差","96","104"
"害","96","101"
"呼","96","101"
"切","96","100"
"逐","96","99"
"铁","95","152"
"申","95","111"
"宽","95","105"
"哪","95","104"
"便","95","104"
"县","94","125"
"轮","94","116"
"劳","94","113"
"卖","94","112"
"故","94","107"
"私","94","102"
"绝","94","100"
"愿","94","100"
"谈","93","117"
"潮","93","98"
"野","92","122"
"爱","92","109"
"散","92","107"
"旗","92","102"
"阻","92","95"
"澳","91","133"
"血","91","118"
"送","91","111"
"诺","91","106"
"园","90","141"
"补","90","111"
"充","90","111"
"细","90","109"
"累","90","106"
"层","89","107"
"千","89","98"
"判","89","97"
"副","89","96"
"烈","89","89"
"岸","88","108"
"庭","88","104"
"审","88","96"
"诉","87","104"
"职","87","103"
"适","87","99"
"涉","87","93"
"呢","87","88"
"党","86","141"
"抵","86","92"
"辆","85","109"
"神","85","93"
"迫","85","88"
"促","85","88"
"宝","84","117"
"燃","84","112"
"迅","84","86"
"钱","83","99"
"盛","83","91"
"键","83","87"
"怎","83","87"
"左","83","86"
"税","82","123"
"白","82","108"
"眼","82","98"
"习","82","90"
"束","82","87"
"农","81","118"
"射","81","100"
"阶","81","90"
"距","81","85"
"劲","81","85"
"右","81","83"
"找","81","82"
"按","80","101"
"戎","80","96"
"吃","79","98"
"角","79","87"
"逾","79","84"
"灾","78","112"
"裁","78","97"
"座","78","92"
"盘","78","90"
"述","78","88"
"善","78","85"
"弹","78","83"
"欢","78","82"
"救","77","83"
"读","77","82"
"允","77","81"
"泛","77","78"
"戏","76","105"
"红","76","96"
"锁","76","87"
"序","76","85"
"架","75","88"
"洋","75","87"
"夺","75","86"
"迹","75","83"
"努","75","81"
"弱","75","78"
"酒","74","126"
"驶","74","112"
"亲","74","88"
"释","74","85"
"援","74","83"
"幕","74","80"
"胜","74","77"
"享","74","76"
"券","73","98"
"版","73","84"
"迟","73","83"
"拜","73","81"
"志","73","81"
"尚","73","78"
"迷","73","76"
"闭","73","75"
"黄","72","104"
"饮","72","90"
"奖","72","88"
"若","72","73"
"尤","72","73"
"脑","71","97"
"修","71","79"
"纽","71","78"
"觉","71","77"
"胁","71","76"
"授","71","74"
"范","71","72"
"戴","70","89"
"弃","70","80"
"伤","70","78"
"奇","70","76"
"潜","70","73"
"干","69","78"
"署","69","74"
"借","69","74"
"莫","69","72"
"液","68","91"
"萨","68","88"
"征","68","77"
"绩","68","76"
"跟","68","75"
"掌","68","68"
"牛","67","104"
"夫","67","83"
"签","67","80"
"伦","67","76"
"陷","67","70"
"坏","67","70"
"圣","66","82"
"冬","66","75"
"触","66","72"
"杂","66","69"
"坚","66","68"
"鱼","65","144"
"村","65","90"
"汇","65","85"
"床","65","82"
"聚","65","78"
"混","65","72"
"换","65","72"
"哥","65","71"
"恶","65","66"
"驾","64","94"
"云","64","83"
"邦","64","73"
"介","64","65"
"震","63","88"
"龙","63","82"
"贴","63","82"
"箱","63","81"
"恐","63","75"
"探","63","73"
"曼","63","72"
"良","63","70"
"隐","63","68"
"吁","63","66"
"竟","63","64"
"雨","62","82"
"听","62","72"
"佳","62","72"
"哈","62","69"
"讯","61","81"
"宗","61","77"
"塞","61","73"
"罕","61","65"
"赖","61","64"
"著","61","61"
"夏","60","71"
"含","60","67"
"童","59","81"
"拍","59","80"
"摩","59","79"
"返","59","67"
"跨","59","66"
"渐","59","66"
"届","59","66"
"疾","59","65"
"顶","59","63"
"汉","58","90"
"语","58","83"
"王","58","67"
"滑","58","63"
"察","58","63"
"阳","57","79"
"雷","57","71"
"武","57","68"
"招","57","66"
"袭","57","64"
"倒","57","62"
"翻","57","61"
"纷","56","101"
"书","56","74"
"挥","56","66"
"托","56","65"
"森","56","63"
"攻","56","62"
"陈","56","61"
"侵","56","59"
"写","56","58"
"杯","55","80"
"晶","55","79"
"校","55","76"
"靠","55","58"
"握","55","57"
"飙","55","56"
"午","55","56"
"秋","54","68"
"拟","54","65"
"踪","54","61"
"思","54","60"
"归","54","58"
"赢","54","57"
"惊","54","56"
"氧","53","74"
"逊","53","67"
"废","53","66"
"摄","53","62"
"永","53","60"
"峰","53","60"
"刚","52","75"
"养","52","73"
"捕","52","70"
"诞","52","62"
"孩","52","62"
"笔","52","61"
"派","52","61"
"春","52","57"
"励","52","56"
"沙","51","74"
"乘","51","64"
"麦","51","63"
"映","51","58"
"衡","51","56"
"旧","51","54"
"刺","51","53"
"肉","50","83"
"跑","50","68"
"罩","50","67"
"族","50","66"
"误","50","58"
"刻","50","58"
"贵","50","57"
"牙","50","57"
"余","50","57"
"母","50","55"
"革","50","54"
"答","50","53"
"础","50","52"
"碍","50","51"
"川","49","59"
"障","49","55"
"尖","49","54"
"败","49","51"
"绕","49","51"
"念","49","49"
"恒","48","74"
"课","48","55"
"钟","48","52"
"冷","48","52"
"振","48","50"
"画","47","74"
"码","47","63"
"丽","47","63"
"瓦","47","62"
"杜","47","60"
"休","47","60"
"默","47","59"
"鲜","47","57"
"古","47","55"
"顿","47","52"
"凯","47","51"
"附","47","49"
"焦","47","48"
"龄","47","47"
"悉","47","47"
"锂","46","87"
"遗","46","74"
"朗","46","66"
"垄","46","60"
"绿","46","55"
"敦","46","51"
"跃","46","49"
"贝","46","49"
"顺","46","48"
"鼓","46","47"
"滞","46","47"
"呈","46","46"
"迪","45","62"
"李","45","58"
"慢","45","52"
"坦","45","51"
"末","45","49"
"夜","45","49"
"搭","45","47"
"守","45","47"
"扰","45","46"
"泡","44","66"
"驻","44","54"
"艺","44","54"
"朝","44","54"
"堵","44","51"
"错","44","49"
"操","44","49"
"套","44","49"
"栏","44","46"
"绍","44","45"
"繁","44","45"
"厚","44","45"
"汗","43","69"
"贷","43","65"
"罚","43","54"
"梦","43","51"
"违","43","50"
"雄","43","49"
"讲","43","49"
"抢","43","49"
"洪","43","48"
"丹","43","48"
"迈","43","46"
"肯","43","46"
"某","43","45"
"拒","43","44"
"旨","43","43"
"衣","42","66"
"菜","42","66"
"勒","42","55"
"固","42","54"
"馆","42","53"
"鲁","42","51"
"偿","42","50"
"豪","42","49"
"逆","42","47"
"召","42","47"
"伯","42","47"
"莱","42","46"
"替","42","46"
"喜","42","45"
"驱","42","44"
"乏","42","44"
"般","42","43"
"八","42","42"
"乱","42","42"
"吨","41","55"
"硬","41","52"
"宅","41","50"
"剩","41","48"
"苦","41","44"
"简","41","44"
"秘","41","44"
"七","41","43"
"途","41","42"
"杀","41","42"
"摆","41","42"
"冰","40","60"
"植","40","53"
"酸","40","47"
"青","40","45"
"熟","40","42"
"谁","40","41"
"矿","39","67"
"卷","39","52"
"犯","39","49"
"埃","39","49"
"伟","39","49"
"灭","39","47"
"漫","39","47"
"江","39","47"
"荣","39","44"
"浪","39","44"
"询","39","41"
"蛋","38","63"
"芝","38","60"
"木","38","57"
"撞","38","47"
"膨","38","45"
"撤","38","44"
"编","38","43"
"盖","38","43"
"榜","38","43"
"叫","38","43"
"蒂","38","42"
"块","38","42"
"厅","38","41"
